Birth_Year,Education_Level,Annual_Income,Kids_Home,Teens_Home,Last_Purchase_Recency,Spent_Wine,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Deals_Purchased,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Campaign1_Accepted,Campaign2_Accepted,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Filed_Complaint,Contact_Cost,Revenue_Contribution,Campaign_Response,Country,City,Region_Code,Mobile_App_User,Email_Subscriber,Referred_By_Friend,Social_Media_User,Membership_Tier,Total_Amount_Spent,Customer_Age,Family_Size,Senior_Citizen,Device_Type_Mobile,Device_Type_Tablet,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Total_kids,Income_per_person,Cluster,PCA1,PCA2,High_Spender
1950,1,49086.97,0,2,83,74,61,179,244,104,96,7,7,3,8,4,0,1,0,1,0,0,3,11,0,India,Mumbai,376,1,1,0,0,1,758,75,3,1,True,False,True,False,False,False,2,12271.7425,0,1.5704887795253726,1.4355099709467367,False
1991,3,53619.01,0,0,1,983,51,71,278,169,326,5,3,1,2,8,0,1,1,1,1,0,3,11,0,Germany,London,367,0,0,0,0,3,1878,34,0,0,False,False,False,False,False,True,0,53619.01,3,-1.8660664744866524,-0.477393819266188,True
1971,2,56032.47,1,0,3,84,81,730,128,52,78,2,2,6,8,17,0,1,1,0,1,0,3,11,1,India,Mumbai,618,0,1,1,1,0,1153,54,2,0,False,False,False,False,True,False,1,18677.49,2,-0.4761905773598307,-0.07390706933671397,False
1941,1,52704.27,2,2,23,702,44,746,159,160,456,6,0,3,2,4,1,0,0,1,1,0,3,11,1,India,São Paulo,293,0,1,0,1,0,2267,84,4,1,False,False,False,False,False,True,4,10540.854,0,0.44964613356627836,-2.7854221367438474,True
1986,1,46505.67,1,1,8,337,98,258,97,118,495,9,8,9,1,7,0,0,0,0,1,0,3,11,0,Germany,Berlin,595,0,0,0,0,0,1403,39,2,0,True,False,False,False,False,False,2,15501.89,3,-0.6329792277690505,-0.7425257065253076,False
1953,1,49143.8,1,2,18,793,52,144,181,149,324,0,7,5,5,19,0,1,1,1,1,1,3,11,0,USA,London,835,0,0,0,0,2,1643,72,4,1,False,False,False,False,True,False,3,9828.76,2,0.48294822717473285,-1.547198715070934,True
1959,2,41695.3,0,2,61,176,35,772,113,57,243,7,7,8,4,17,0,0,1,0,0,0,3,11,0,Germany,London,629,0,0,1,1,0,1396,66,2,1,False,False,False,False,False,True,2,13898.433333333334,0,0.8951760344016816,0.11869770970617433,False
1961,2,54698.36,0,0,71,757,50,494,196,7,416,7,7,4,6,5,1,0,0,0,1,1,3,11,1,UK,Berlin,170,0,0,0,1,3,1920,64,0,1,True,False,False,True,False,False,0,54698.36,1,-0.410493179720236,0.7191291430009087,True
1950,1,46683.08,1,2,40,771,17,72,215,136,297,2,4,4,2,17,1,1,0,0,0,0,3,11,1,India,São Paulo,184,1,0,1,1,0,1508,75,3,1,True,False,False,True,False,False,3,11670.77,0,0.9459614545103898,-0.9539263147169872,True
1966,2,52708.41,1,2,91,449,11,370,140,138,112,0,4,4,8,0,1,1,1,1,1,0,3,11,1,Brazil,Mumbai,705,1,1,1,0,0,1220,59,3,0,True,False,False,True,False,False,3,13177.1025,0,0.6662832365874717,0.7017534671122952,False
1942,1,65012.05,1,1,76,144,56,69,222,36,380,2,7,4,0,13,0,1,1,0,0,0,3,11,0,Germany,Berlin,841,0,1,0,1,3,907,83,2,1,False,True,False,False,False,False,2,21670.683333333334,0,1.0214197808459855,1.1993713956953864,False
1956,3,39359.62,1,0,71,246,45,135,45,114,284,6,5,4,2,4,0,1,1,0,1,0,3,11,1,India,London,742,1,1,1,0,0,869,69,2,1,False,False,True,False,False,False,1,13119.873333333335,2,1.4385593967778783,1.438629408751393,False
2001,3,58950.43,2,0,77,128,88,175,32,19,246,1,7,8,4,17,0,0,0,1,1,1,3,11,1,Brazil,Mumbai,220,1,1,0,0,1,688,24,2,0,True,False,False,True,False,False,2,19650.143333333333,1,-0.6852379521854753,1.9204907441428913,False
1983,2,50498.15,1,0,49,588,99,83,40,115,190,6,1,1,2,9,0,1,0,0,0,0,3,11,1,Germany,New York,472,0,0,1,0,1,1115,42,1,0,True,False,False,False,False,False,1,25249.075,1,-0.3566265204025651,0.9872068299621112,False
1995,2,80317.9,0,1,73,713,40,281,215,175,280,4,1,8,2,1,0,0,0,0,1,1,3,11,1,USA,New York,433,1,0,1,1,0,1704,30,1,0,False,False,False,True,False,False,1,40158.95,1,-2.385710488184631,1.1393721724545596,True
1967,1,46755.5,1,1,83,80,19,57,0,86,402,0,5,8,8,6,1,1,0,0,1,0,3,11,1,UK,London,725,0,0,1,1,0,644,58,2,0,False,False,False,False,False,False,2,15585.166666666666,1,1.1432725927133605,1.6980606089746377,False
1968,2,60427.47,1,1,64,630,74,373,264,136,464,7,3,8,9,5,1,1,0,1,0,1,3,11,1,Germany,New York,970,1,1,1,1,0,1941,57,2,0,True,False,False,True,False,False,2,20142.49,0,-0.6521230259342795,-0.2609094263608796,True
1960,1,50230.3,0,1,75,212,19,441,186,45,412,2,1,9,8,10,1,0,0,0,0,0,3,11,0,Germany,Berlin,574,1,1,1,1,3,1315,65,2,1,True,False,True,False,False,False,1,16743.433333333334,1,0.49346460987135055,1.0849012648179301,False
1986,1,29175.43,1,0,98,368,96,792,120,123,212,0,6,5,5,3,1,0,0,0,1,0,3,11,1,Brazil,São Paulo,598,0,0,0,1,0,1711,39,1,0,False,False,False,False,False,True,1,14587.715,1,0.2602067848445674,1.0293304568382329,True
1955,1,42189.66,0,0,83,106,9,782,87,25,78,2,2,7,6,13,0,0,1,1,0,1,3,11,1,India,London,963,1,0,1,0,2,1087,70,0,1,False,False,False,True,False,False,0,42189.66,1,1.0942894697139984,1.8890558856007815,False
1976,2,63207.07,2,2,75,648,61,778,25,15,377,5,8,9,8,11,0,1,0,1,0,0,3,11,1,USA,São Paulo,745,1,1,0,1,1,1904,49,4,0,True,False,False,False,False,True,4,12641.414,0,-0.6439455228024967,-0.8071470265022613,True
1998,0,43509.58,2,1,11,94,63,607,38,49,217,1,5,3,5,3,1,0,0,1,1,1,3,11,1,Brazil,New York,775,0,1,0,1,2,1068,27,3,0,False,False,False,True,False,False,3,10877.395,3,-0.4917203308389802,-0.6335989127247739,False
1959,1,16696.16,0,2,38,98,88,735,149,83,2,1,8,4,5,16,1,1,1,0,0,1,3,11,0,USA,Mumbai,538,1,1,1,1,2,1155,66,3,1,False,False,True,False,False,False,2,4174.04,2,2.0051055351190477,-0.32258124736903204,False
1945,1,49528.95,2,1,28,905,73,5,224,15,361,5,2,7,9,18,1,1,0,0,1,1,3,11,1,UK,London,472,1,1,0,1,1,1583,80,3,1,True,False,False,False,False,True,3,12382.2375,0,0.8702992237791761,-1.3165534012339284,True
1958,0,33614.96,2,2,57,688,23,513,98,87,365,3,7,9,0,16,0,0,1,0,0,1,3,11,0,UK,New York,250,1,0,0,0,3,1774,67,4,1,True,False,False,False,False,False,4,6722.992,0,1.2569342317734304,-1.4846851190648658,True
1996,0,51977.27,2,0,66,47,40,534,24,121,157,3,7,0,0,16,1,1,1,0,0,0,3,11,0,Germany,São Paulo,879,1,1,1,0,2,923,29,2,0,False,False,False,True,False,False,2,17325.756666666664,1,-0.4695165059166443,1.260587710846582,False
1944,2,73267.21,0,0,70,175,32,604,109,143,80,1,9,7,2,7,0,1,0,1,0,1,3,11,0,UK,Mumbai,957,1,1,0,1,0,1143,81,0,1,True,False,False,True,False,False,0,73267.21,2,0.05084854457536949,1.789677962261986,False
1942,2,61541.86,1,1,86,398,33,518,100,112,368,3,9,8,8,4,1,0,1,1,1,1,3,11,1,India,São Paulo,828,0,0,1,1,3,1529,83,2,1,True,False,False,False,False,False,2,20513.953333333335,0,0.723430775880623,0.5515120261662584,True
1998,1,73049.84,2,0,76,44,58,445,122,58,133,1,8,8,7,9,0,1,0,0,1,1,3,11,0,Germany,Mumbai,239,1,0,0,1,0,860,27,3,0,True,False,True,False,False,False,2,18262.46,1,-1.3198989819631974,1.8015360028152108,False
1940,2,41577.32,1,1,74,257,78,29,265,95,76,5,3,4,9,14,0,1,1,1,1,1,3,11,0,USA,New York,257,0,0,0,1,3,800,85,3,1,False,False,False,False,True,False,2,10394.33,0,2.1613723564128837,1.0267273280272629,False
1997,2,47852.5,1,2,24,313,87,591,207,165,454,9,9,3,2,5,1,1,1,0,0,1,3,11,0,UK,São Paulo,796,0,0,0,1,0,1817,28,3,0,True,False,False,True,False,False,3,11963.125,3,-1.1689217166977177,-1.3086137761301848,True
1999,1,34333.46,2,1,83,165,78,512,108,189,296,1,4,8,3,5,0,1,1,1,0,1,3,11,0,India,New York,684,1,1,0,1,3,1348,26,3,0,True,False,False,False,False,False,3,8583.365,1,0.08738266105646292,0.4294645305086699,False
1977,2,39739.35,2,2,48,514,9,204,28,56,79,3,6,0,6,13,1,1,0,0,1,0,3,11,1,USA,London,493,0,1,1,1,0,890,48,5,0,False,False,False,False,True,False,4,6623.224999999999,0,0.9710131203767782,-0.28703190161287623,False
1954,3,36096.73,1,2,62,729,4,256,259,180,388,7,8,5,2,2,1,0,1,0,0,1,3,11,1,Germany,Mumbai,825,1,0,0,1,3,1816,71,3,1,True,False,False,True,False,False,3,9024.1825,0,1.1361636243179822,-0.9780123258045411,True
1973,1,30399.16,2,1,26,480,85,405,67,112,336,7,7,9,8,19,0,1,1,1,0,1,3,11,1,India,New York,299,0,0,1,1,3,1485,52,3,0,False,False,False,False,False,True,3,7599.79,3,0.7280899353836087,-1.2117794273459297,True
2000,1,70487.85,0,0,69,880,36,573,78,35,192,5,6,5,4,7,0,1,0,0,0,0,3,11,0,Germany,São Paulo,844,0,0,0,1,0,1794,25,0,0,False,False,False,False,False,False,0,70487.85,1,-2.4090769389479867,1.3304819652636886,True
1974,3,18620.6,0,2,69,471,30,591,254,41,200,2,2,2,8,1,0,1,0,0,1,0,3,11,0,UK,Mumbai,475,0,0,0,0,0,1587,51,2,0,True,False,False,False,False,True,2,6206.866666666666,1,1.2205950365721,-0.09461016339774717,True
1988,1,70552.08,2,0,57,698,22,242,131,53,120,1,2,4,0,13,0,0,1,1,0,0,3,11,1,UK,New York,351,0,1,0,1,3,1266,37,3,0,True,False,True,False,False,False,2,17638.02,1,-1.3019646018507536,0.7546517064382811,False
1964,0,68690.88,1,2,8,608,10,555,12,87,241,8,3,8,8,14,0,1,0,0,1,1,3,11,1,UK,New York,553,0,0,1,0,0,1513,61,4,1,True,False,False,False,True,False,3,13738.176000000001,3,-0.7024409724364788,-1.2852515990131006,True
1963,1,57496.89,2,2,84,190,73,8,177,51,177,8,0,9,4,5,1,0,0,1,1,1,3,11,1,India,New York,242,1,0,0,0,3,676,62,4,1,False,True,False,False,False,False,4,11499.378,0,1.1316352031176202,0.8387073035505186,False
1951,1,33282.39,0,2,81,861,98,600,52,20,76,9,6,8,3,15,1,1,1,1,0,1,3,11,1,Brazil,Mumbai,207,0,1,1,1,3,1707,74,2,1,False,False,False,True,False,False,2,11094.13,0,1.4152384046441702,-0.024966155077220407,True
1957,2,26267.37,1,2,0,42,21,549,55,39,347,0,8,6,6,14,1,0,0,0,1,1,3,11,0,India,São Paulo,611,1,1,1,0,0,1053,68,3,1,False,True,False,True,False,False,3,6566.8425,2,1.6741370200107937,-1.3659940104639765,False
1954,1,41773.94,2,1,75,771,85,21,54,143,488,8,4,4,6,11,0,1,1,1,0,0,3,11,1,USA,London,622,1,1,1,0,3,1562,71,4,1,True,False,False,False,True,False,3,8354.788,0,1.185589469318839,-0.3051695573362657,True
1983,1,59376.81,0,2,64,682,36,680,288,82,148,4,9,6,3,16,1,0,1,1,0,1,3,11,0,India,New York,562,0,0,0,1,3,1916,42,2,0,True,False,False,False,False,True,2,19792.27,1,-1.1334624533303375,-0.11814563595561418,True
1955,1,50045.95,1,0,91,236,26,257,68,19,70,8,9,9,8,9,1,0,0,0,1,1,3,11,1,Brazil,Mumbai,555,0,0,1,1,0,676,70,1,1,True,False,False,False,False,True,1,25022.975,1,1.3067556026252092,2.2256706888044815,False
1966,1,34347.51,0,0,23,700,0,128,239,121,452,1,5,1,2,5,1,1,1,0,0,0,3,11,0,Brazil,London,269,0,1,0,1,2,1640,59,0,0,True,False,False,False,False,False,0,34347.51,2,0.19414077699811982,-0.10905405960762733,True
1947,1,67223.07,2,1,18,853,62,9,57,123,311,6,4,7,3,11,0,1,0,1,0,1,3,11,0,Brazil,Berlin,426,0,1,0,0,2,1415,78,3,1,True,False,False,False,False,False,3,16805.7675,2,0.12217790556826122,-1.0973125592403032,False
1999,1,75265.75,2,2,13,816,4,610,291,101,455,0,5,6,1,14,1,1,1,1,0,1,3,11,0,USA,São Paulo,532,1,0,1,1,0,2277,26,4,0,True,False,False,False,False,True,4,15053.15,3,-2.6893875278285124,-2.2958679515115366,True
1985,2,46601.01,0,1,13,959,10,599,268,132,150,0,0,7,9,2,0,1,0,1,1,1,3,11,0,Brazil,Berlin,812,0,0,1,1,3,2118,40,1,0,False,False,False,False,False,False,1,23300.505,3,-1.3118515708589058,-1.1268468686248476,True
1964,0,51640.05,0,0,89,531,96,177,134,142,288,7,5,1,5,19,0,0,0,1,0,0,3,11,1,Germany,São Paulo,375,0,1,0,1,0,1368,61,0,1,True,False,False,False,False,True,0,51640.05,1,0.17473142014422538,1.820608271658262,False
1956,1,27367.27,0,2,79,988,79,747,56,39,192,7,7,5,5,1,1,1,1,1,0,1,3,11,0,USA,São Paulo,300,0,0,0,0,0,2101,69,3,1,True,False,False,False,True,False,2,6841.8175,0,1.1490352259921368,-0.6120009624930813,True
1968,1,43784.2,0,0,87,852,39,430,136,73,349,6,4,1,4,8,1,1,0,1,1,1,3,11,1,Brazil,Mumbai,675,0,1,1,1,0,1879,57,0,0,True,False,False,False,False,False,0,43784.2,1,-0.06847396473839883,1.0497469327790891,True
1992,1,57656.6,0,1,31,684,93,685,281,74,407,7,0,7,6,12,0,1,1,0,1,1,3,11,0,USA,London,316,1,0,1,1,3,2224,33,1,0,False,True,False,False,False,True,1,28828.3,3,-2.007599497989617,-0.7085661552926846,True
1947,1,55322.85,1,1,5,656,27,713,22,43,342,6,4,1,5,2,1,1,0,0,1,1,3,11,0,UK,London,987,0,1,0,1,3,1803,78,2,1,False,True,False,False,False,False,2,18440.95,2,0.06809730048891413,-1.5535293959053968,True
1954,1,42384.98,2,0,93,577,28,101,183,56,20,7,9,0,6,3,1,0,0,1,1,0,3,11,0,USA,London,274,0,0,1,1,0,965,71,2,1,True,False,False,True,False,False,2,14128.326666666668,0,1.6027764264013837,1.33305792696253,False
1966,2,45886.35,1,2,22,225,15,627,153,113,332,1,1,9,4,18,0,0,0,0,0,0,3,11,1,Brazil,New York,435,0,1,0,0,3,1465,59,3,0,True,False,False,True,False,False,3,11471.5875,3,0.31822444025463914,-1.1577778698517618,True
1985,1,43291.84,0,2,18,917,0,715,115,199,369,4,0,8,9,10,0,0,0,0,1,1,3,11,1,Brazil,Berlin,509,0,0,1,0,3,2315,40,3,0,True,False,True,False,False,False,2,10822.96,3,-1.1423639355029083,-1.7788367534498581,True
1989,2,45823.03,1,0,88,433,62,187,74,39,353,5,4,5,7,2,0,1,1,1,0,0,3,11,0,India,Berlin,884,0,0,1,0,3,1148,36,1,0,True,False,False,False,False,True,1,22911.515,1,-0.15726447498473942,1.7671412108497373,False
1991,0,56348.52,2,0,88,453,71,534,76,109,168,7,9,5,0,15,0,0,1,1,1,1,3,11,1,USA,London,490,0,1,0,1,3,1411,34,3,0,False,False,True,False,False,False,2,14087.13,1,-0.7320197336385329,1.0890388554359909,False
1946,3,20486.94,0,2,1,792,3,790,51,190,470,0,7,5,8,2,0,1,1,0,0,0,3,11,1,India,London,801,0,0,1,1,0,2296,79,2,1,True,False,False,False,False,True,2,6828.98,2,1.1515023424670943,-2.677518524193655,True
1942,1,48884.76,0,0,73,126,50,584,188,23,229,3,3,0,1,3,1,1,0,0,1,1,3,11,1,USA,New York,119,1,0,0,0,1,1200,83,0,1,True,False,False,False,False,False,0,48884.76,2,1.128577855103811,1.4959149931411313,False
1968,2,55249.63,2,1,40,641,99,131,271,97,84,6,4,7,9,4,0,0,0,0,0,0,3,11,0,USA,São Paulo,591,0,1,1,1,2,1323,57,3,0,True,False,False,False,False,True,3,13812.4075,0,0.07886276667923006,-0.4706692108266791,False
1983,1,41442.73,1,2,52,765,60,732,147,39,376,7,8,3,5,19,0,0,0,0,0,0,3,11,0,USA,New York,298,0,1,1,0,0,2119,42,3,0,True,False,False,True,False,False,3,10360.6825,3,-0.45718805935077594,-1.2975789455995013,True
1992,1,42810.0,2,2,26,426,81,154,95,148,242,4,8,0,5,12,1,1,1,0,1,1,3,11,1,India,São Paulo,392,1,0,0,0,2,1146,33,4,0,False,False,False,False,False,False,4,8562.0,3,-0.053701846763156286,-0.9365781295644408,False
1963,1,43244.08,2,1,7,400,82,312,251,193,277,5,3,0,4,13,0,0,1,0,0,1,3,11,1,USA,New York,694,0,1,0,0,0,1515,62,3,1,True,False,False,True,False,False,3,10811.02,3,0.40356250741646016,-1.594591253245383,True
1999,3,42814.25,1,0,42,72,99,323,72,146,366,7,5,0,8,2,1,1,1,0,1,1,3,11,1,Germany,Berlin,818,0,1,1,0,0,1078,26,1,0,False,False,False,False,False,False,1,21407.125,1,-0.6280001958134496,0.9333227882360473,False
1997,1,50088.26,1,2,32,147,72,321,131,141,488,7,1,6,4,8,0,0,1,0,1,0,3,11,0,USA,New York,347,1,0,0,0,0,1300,28,3,0,True,False,False,False,False,True,3,12522.065,3,-0.7905199552708297,-0.43170023693295706,False
1942,1,51935.04,0,2,42,420,25,509,297,100,301,7,2,5,1,15,0,0,0,0,1,1,3,11,0,UK,London,495,1,0,1,0,0,1652,83,2,1,False,False,False,False,False,True,2,17311.68,2,0.7512223251486629,-0.6476778967549377,True
1959,2,18492.29,0,2,82,435,1,710,110,19,488,2,0,6,6,6,0,1,1,1,0,1,3,11,1,USA,Berlin,173,0,0,0,0,1,1763,66,2,1,False,False,False,True,False,False,2,6164.096666666667,0,1.7107637106934956,-0.17439503632239825,True
1985,1,59793.21,0,0,29,590,66,312,137,56,412,2,0,6,7,10,0,0,0,0,0,0,3,11,1,UK,London,979,0,0,1,0,2,1573,40,1,0,False,True,False,False,True,False,0,29896.605,1,-1.482564935565273,0.5374821013310384,True
1954,2,45650.02,2,2,33,281,91,42,55,147,52,7,5,4,9,12,0,0,0,1,1,1,3,11,0,UK,Berlin,558,0,0,1,1,3,668,71,4,1,True,False,False,False,False,True,4,9130.003999999999,0,1.6447675613234063,-0.43279359363062536,False
1964,1,78994.45,1,0,77,408,44,425,202,116,278,6,5,6,9,2,1,1,1,0,1,1,3,11,0,USA,London,791,0,1,1,0,0,1473,61,2,1,True,False,False,False,True,False,1,26331.483333333334,1,-0.9866694937003392,1.2644237967604885,True
1969,2,32125.27,1,1,99,319,59,737,219,30,21,1,4,1,2,3,0,0,0,0,1,1,3,11,0,USA,London,702,1,1,1,1,2,1385,56,2,0,False,False,False,False,False,False,2,10708.423333333334,1,1.1857679052335697,0.9145365794053771,False
1953,1,36990.28,0,0,19,414,19,523,189,28,97,9,0,0,1,6,0,0,0,1,0,1,3,11,1,Brazil,New York,993,0,1,0,0,1,1270,72,1,1,False,True,False,False,True,False,0,18495.14,2,0.8326607765063155,0.21887798050316667,False
1946,1,46956.37,2,0,86,925,18,90,139,183,391,1,9,9,0,4,1,0,0,0,0,0,3,11,0,India,London,780,1,0,1,1,0,1746,79,2,1,True,False,False,True,False,False,2,15652.123333333335,0,1.0180785517510245,0.13809300790550566,True
1956,1,56198.38,2,1,61,368,82,437,39,51,238,7,1,4,0,13,1,1,0,0,0,0,3,11,1,UK,São Paulo,810,1,0,1,1,3,1215,69,4,1,False,False,True,False,False,False,3,11239.676,0,0.6968642873781775,0.030208666371935988,False
2001,2,20738.49,1,0,78,393,36,85,247,74,87,2,8,0,9,8,0,0,1,1,0,0,3,11,0,UK,London,683,1,1,1,0,3,922,24,2,0,True,False,True,False,False,False,1,6912.830000000001,1,0.5893058230475565,1.6774060220378035,False
1983,1,37563.5,1,1,1,421,14,462,225,73,299,0,6,6,5,5,1,1,0,0,0,0,3,11,0,Brazil,São Paulo,335,1,1,0,1,1,1494,42,2,0,False,False,False,True,False,False,2,12521.166666666666,3,-0.2637334185319386,-1.1327541015576603,True
1959,1,58869.8,1,2,87,620,69,585,35,111,392,1,7,1,2,5,1,1,1,0,0,1,3,11,0,Germany,New York,208,1,1,1,0,0,1812,66,4,1,True,False,True,False,False,False,3,11773.960000000001,0,0.15125930145501962,-0.15453658827742325,True
1975,3,35778.14,1,1,87,635,64,290,38,17,121,7,7,4,9,0,0,1,0,1,1,1,3,11,1,USA,São Paulo,828,1,0,1,1,0,1165,50,2,0,False,False,False,True,False,False,2,11926.046666666667,1,0.9163871699579021,1.0393523456034217,False
1948,0,70550.4,2,1,94,596,12,423,11,136,30,6,0,2,0,15,1,1,1,1,0,1,3,11,1,Brazil,London,751,0,0,0,0,0,1208,77,3,1,True,False,False,False,False,True,3,17637.6,0,0.5950633018589678,0.8302501828712642,False
1977,2,43191.75,0,2,79,495,55,287,253,125,10,5,3,0,4,1,1,0,1,0,0,0,3,11,0,Germany,Mumbai,467,1,1,0,0,0,1225,48,3,0,False,False,False,False,True,False,2,10797.9375,1,0.4299583595313243,0.8876200243259476,False
1987,3,36509.4,1,2,67,471,56,211,0,60,304,2,2,9,0,13,0,1,0,1,1,1,3,11,0,Brazil,New York,236,0,1,1,1,0,1102,38,4,0,True,False,True,False,False,False,3,7301.88,1,0.5319769488960323,0.3423849952393037,False
1996,2,59153.66,1,0,97,97,2,388,83,57,493,6,6,2,8,18,0,1,1,0,0,0,3,11,0,India,Mumbai,896,0,1,1,0,0,1120,29,1,0,False,False,False,False,False,True,1,29576.83,1,-0.8968265871152662,2.196652823966158,False
1999,2,74114.26,1,0,78,923,44,668,163,197,485,7,2,3,3,8,0,0,0,0,0,0,3,11,1,USA,New York,775,0,1,1,1,0,2480,26,2,0,True,False,True,False,False,False,1,24704.75333333333,1,-2.871100731434503,0.1846507087155178,True
1961,1,56245.94,2,0,82,371,71,218,165,75,94,9,7,8,0,11,1,0,0,1,0,1,3,11,1,Brazil,London,637,0,1,1,0,0,994,64,2,1,False,False,False,False,False,False,2,18748.646666666667,0,0.6675881240679747,1.2694328493835612,False
1993,1,68906.44,0,2,18,996,86,345,258,0,51,6,5,3,9,19,0,1,0,0,0,0,3,11,0,UK,New York,132,1,0,0,1,0,1736,32,2,0,False,False,False,True,False,False,2,22968.813333333335,3,-2.0452595369500437,-0.6699226990755637,True
1992,2,75149.53,2,2,34,151,27,10,177,73,437,8,2,6,4,0,0,1,0,1,1,1,3,11,0,USA,Berlin,776,0,1,1,0,0,875,33,4,0,True,False,False,True,False,False,4,15029.905999999999,3,-1.1510558543464224,-0.05648537741313126,False
1992,1,36172.12,0,2,19,924,32,28,172,65,322,8,0,5,8,4,0,1,0,0,1,0,3,11,1,UK,Mumbai,425,0,0,0,1,3,1543,33,2,0,False,False,False,False,False,True,2,12057.373333333335,3,-0.45867164236851177,-0.7587078767724391,True
1941,0,64075.87,2,0,40,80,97,635,147,44,24,5,7,0,5,15,1,1,0,1,1,0,3,11,1,USA,São Paulo,803,1,1,0,1,2,1027,84,2,1,False,False,False,False,False,False,2,21358.623333333333,2,0.7715575865706265,0.2600417058315028,False
1963,2,27147.94,1,2,28,870,97,619,237,168,76,1,7,4,8,12,0,1,0,1,0,1,3,11,1,Brazil,London,181,1,0,0,0,0,2067,62,4,1,False,False,False,False,True,False,3,5429.588,0,0.7670458612976301,-2.054634720974761,True
1947,1,56373.54,1,2,14,983,24,659,173,199,79,9,8,4,6,6,1,1,1,1,0,0,3,11,1,India,Mumbai,376,1,0,1,0,3,2117,78,3,1,True,False,False,False,False,False,3,14093.385,2,-0.017315287495275097,-2.22785222896493,True
1950,3,48930.23,0,1,83,16,61,42,138,24,43,0,6,9,9,8,0,1,1,1,1,1,3,11,1,India,São Paulo,112,1,1,0,1,3,324,75,1,1,True,False,False,False,False,False,1,24465.115,2,1.7730658329615867,2.4687542225390318,False
1952,2,68644.25,2,1,31,612,64,581,29,157,405,7,7,3,0,2,0,1,0,1,0,0,3,11,0,Germany,New York,389,0,1,1,0,0,1848,73,4,1,True,False,False,False,True,False,3,13728.85,0,-0.39160297543208417,-1.338186813182301,True
1956,2,67583.77,0,2,12,69,70,135,59,171,140,9,0,1,5,1,1,1,1,1,0,1,3,11,1,USA,Mumbai,336,0,1,0,0,0,644,69,3,1,True,False,False,False,True,False,2,16895.9425,2,0.21247170267754062,0.33247058819961123,False
1947,2,58546.75,2,0,6,511,37,172,179,159,373,0,0,8,5,18,0,1,0,0,0,1,3,11,0,Germany,São Paulo,833,0,0,1,1,0,1431,78,2,1,True,False,False,False,False,False,2,19515.583333333332,2,0.2418692296953068,-1.0056885383411578,False
1960,2,54476.42,1,1,53,831,27,366,19,133,18,8,6,0,6,0,1,1,0,0,1,1,3,11,1,UK,London,328,0,1,0,0,0,1394,65,3,1,True,False,True,False,False,False,2,13619.105,2,0.26853581691014866,0.09932493201827704,False
1957,2,57625.53,0,2,15,873,80,189,109,114,441,7,6,7,0,8,1,0,1,0,1,0,3,11,1,Brazil,Berlin,394,0,0,0,0,2,1806,68,3,1,True,False,True,False,False,False,2,14406.3825,2,-0.33273548258046937,-1.2397932554019606,True
1969,1,50926.56,0,1,9,868,29,694,285,58,188,7,2,5,4,18,0,0,0,0,1,1,3,11,0,Brazil,London,161,1,0,1,0,0,2122,56,1,0,True,False,False,False,False,False,1,25463.28,2,-0.9409309322621938,-1.298959481132289,True
1957,1,49082.06,1,1,55,237,0,602,203,141,219,9,5,8,4,11,0,0,0,1,1,0,3,11,0,India,São Paulo,238,1,0,0,0,0,1402,68,3,1,False,False,True,False,False,False,2,12270.515,2,0.6123353400965291,0.04806517968010125,False
1985,2,71638.67,1,0,65,414,91,421,267,150,404,9,5,3,2,19,0,0,0,1,0,0,3,11,1,UK,London,615,1,0,0,0,0,1747,40,2,0,True,False,False,False,True,False,1,23879.556666666667,1,-1.7397881414234577,0.7376970587071073,True
1986,2,73443.35,1,2,37,56,99,193,294,76,153,4,5,8,6,5,1,0,0,0,0,1,3,11,0,Brazil,London,873,0,1,1,1,0,871,39,4,0,False,False,False,False,True,False,3,14688.670000000002,3,-0.9967256879591688,0.4067870217607022,False
1970,1,47875.11,1,2,52,403,17,526,65,125,296,6,3,2,2,17,1,0,0,1,1,0,3,11,1,Brazil,Berlin,932,1,0,1,0,3,1432,55,4,0,False,False,True,False,False,False,3,9575.022,0,0.305197827347681,-0.42476704572758484,False
1977,0,53564.55,1,0,81,429,1,778,214,87,253,5,8,3,3,1,0,1,1,1,0,1,3,11,0,Brazil,New York,359,1,1,0,0,0,1762,48,2,0,True,False,False,False,True,False,1,17854.850000000002,1,-0.5940789248552925,0.7950742195025965,True
1971,1,51224.83,1,0,33,129,96,168,175,125,169,8,3,8,4,18,1,1,0,1,1,1,3,11,0,USA,New York,257,0,0,1,1,0,862,54,1,0,False,True,False,True,False,False,1,25612.415,2,0.1550566537776573,0.8935753859756307,False
1950,0,25824.52,2,0,84,616,70,590,268,47,178,4,3,1,9,1,1,1,1,1,1,1,3,11,0,UK,Mumbai,704,1,0,1,0,0,1769,75,3,1,True,False,False,False,True,False,2,6456.13,0,1.7357900876266146,-0.13273348093903656,True
